olt,onu_id,consumo_total,horas_activas,ratio_up_down,estado,es_revendedor
OLT VSOL COLONIAS,GPON03ONU94,98.58,91,0.10243793334824423,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU34,98.42,84,0.6701170880705922,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU76,97.89,71,1.4350746268656716,CRITICO,-1
OLT VSOL FLOR A,GPON04ONU12,97.66000000000001,97,0.1266728195662206,NORMAL,1
OLT VSOL FLOR A,GPON05ONU75,97.56,95,0.5884076847932269,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU47,97.37,87,0.3888175723862502,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU9,96.87,91,0.2276010645038652,NORMAL,1
OLT VSOL FLOR A,GPON05ONU4,96.85,97,0.21153365023767826,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU20,96.77,91,0.2945819397993311,NORMAL,1
OLT VSOL FLOR A,GPON03ONU10,96.49,108,0.1245920745920746,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU52,96.43,91,0.04906440382941688,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU25,95.89,91,0.10881128584643848,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU38,95.86,91,0.3061725030658128,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU108,95.82000000000001,81,0.060659729909231797,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU14,95.75,91,0.355080667987546,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU75,95.64,89,0.07836283684744616,NORMAL,1
OLT VSOL FLOR A,GPON06ONU73,95.56,110,0.1250294325406169,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU48,95.35,91,0.26542800265428007,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU123,94.86,91,0.06860425819533626,NORMAL,1
OLT VSOL FLOR A,GPON03ONU67,94.55,111,0.05230940456316083,NORMAL,1
OLT VSOL CARAQUITA,GPON01ONU119,94.54,89,0.09143384899561302,NORMAL,1
OLT VSOL FLOR A,GPON04ONU81,94.44000000000001,108,0.06965681277607882,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU117,94.44,91,0.057440376217668794,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU51,94.42,108,0.1429609006173587,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU37,94.19,91,0.28780421110199617,NORMAL,1
OLT VSOL FLOR A,GPON03ONU33,94.15,102,0.449576597382602,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU4,94.14,89,0.28712059064807216,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU6,93.92,89,0.22355393434080248,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU85,93.84,86,0.4488188976377953,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU19,93.83,88,0.23720991561181431,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU94,93.73,91,0.33785326862689125,NORMAL,1
OLT VSOL FLOR A,GPON05ONU39,93.37,107,0.11486567164179104,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU81,93.35,81,0.048994269018990906,NORMAL,1
OLT VSOL FLOR A,GPON06ONU64,93.33000000000001,84,0.054457123488871315,NORMAL,1
OLT VSOL FLOR A,GPON06ONU28,93.33,102,0.05517241379310345,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU8,93.25,91,0.20618290001293493,NORMAL,1
OLT VSOL FLOR A,GPON05ONU30,93.17,108,0.052173913043478265,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU16,93.09,91,0.17701352889113667,NORMAL,1
OLT VSOL FLOR A,GPON05ONU10,93.03,109,0.2561436672967864,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU2,92.59,91,0.2438205265986029,NORMAL,1
OLT VSOL FLOR A,GPON03ONU2,92.56,100,0.43259557344064387,NORMAL,1
